#TYPE Deserialized.System.Management.ManagementObject#root\cimv2\Win32_Service
"PSComputerName","RunspaceId","PSShowComputerName","__GENUS","__CLASS","__SUPERCLASS","__DYNASTY","__RELPATH","__PROPERTY_COUNT","__DERIVATION","__SERVER","__NAMESPACE","__PATH","AcceptPause","AcceptStop","Caption","CheckPoint","CreationClassName","DelayedAutoStart","Description","DesktopInteract","DisplayName","ErrorControl","ExitCode","InstallDate","Name","PathName","ProcessId","ServiceSpecificExitCode","ServiceType","Started","StartMode","StartName","State","Status","SystemCreationClassName","SystemName","TagId","WaitHint"
"ILCSDC0","1f2702d2-4538-45f6-a75d-53e5572e907c","True","2","Win32_Service","Win32_BaseService","CIM_ManagedSystemElement","Win32_Service.Name=""ADWS""","26","Win32_BaseService CIM_Service CIM_LogicalElement CIM_ManagedSystemElement","ILCSDC0","root\cimv2","\\ILCSDC0\root\cimv2:Win32_Service.Name=""ADWS""","False","True","Active Directory Web Services","0","Win32_Service","False","This service provides a Web Service interface to instances of the directory service (AD DS and AD LDS) that are running locally on this server. If this service is stopped or disabled, client applications, such as Active Directory PowerShell, will not be able to access or manage any directory service instances that are running locally on this server.","False","Active Directory Web Services","Normal","0",,"ADWS","C:\Windows\ADWS\Microsoft.ActiveDirectory.WebServices.exe","2500","0","Own Process","True","Auto","LocalSystem","Running","OK","Win32_ComputerSystem","ILCSDC0","0","0"
"ILCSDC0","1f2702d2-4538-45f6-a75d-53e5572e907c","True","2","Win32_Service","Win32_BaseService","CIM_ManagedSystemElement","Win32_Service.Name=""BFE""","26","Win32_BaseService CIM_Service CIM_LogicalElement CIM_ManagedSystemElement","ILCSDC0","root\cimv2","\\ILCSDC0\root\cimv2:Win32_Service.Name=""BFE""","False","True","Base Filtering Engine","0","Win32_Service","False","The Base Filtering Engine (BFE) is a service that manages firewall and Internet Protocol security (IPsec) policies and implements user mode filtering. Stopping or disabling the BFE service will significantly reduce the security of the system. It will also result in unpredictable behavior in IPsec management and firewall applications.","False","Base Filtering Engine","Normal","0",,"BFE","C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork","1272","0","Share Process","True","Auto","NT AUTHORITY\LocalService","Running","OK","Win32_ComputerSystem","ILCSDC0","0","0"
"ILCSDC0","1f2702d2-4538-45f6-a75d-53e5572e907c","True","2","Win32_Service","Win32_BaseService","CIM_ManagedSystemElement","Win32_Service.Name=""BrokerInfrastructure""","26","Win32_BaseService CIM_Service CIM_LogicalElement CIM_ManagedSystemElement","ILCSDC0","root\cimv2","\\ILCSDC0\root\cimv2:Win32_Service.Name=""BrokerInfrastructure""","False","False","Background Tasks Infrastructure Service","0","Win32_Service","False","Windows infrastructure service that controls which background tasks can run on the system.","False","Background Tasks Infrastructure Service","Normal","0",,"BrokerInfrastructure","C:\Windows\system32\svchost.exe -k DcomLaunch","836","0","Share Process","True","Auto","LocalSystem","Running","OK","Win32_ComputerSystem","ILCSDC0","0","0"
"ILCSDC0","1f2702d2-4538-45f6-a75d-53e5572e907c","True","2","Win32_Service","Win32_BaseService","CIM_ManagedSystemElement","Win32_Service.Name=""CDPSvc""","26","Win32_BaseService CIM_Service CIM_LogicalElement CIM_ManagedSystemElement","ILCSDC0","root\cimv2","\\ILCSDC0\root\cimv2:Win32_Service.Name=""CDPSvc""","False","True","Connected Devices Platform Service","0","Win32_Service","True","This service is used for Connected Devices and Universal Glass scenarios","False","Connected Devices Platform Service","Normal","0",,"CDPSvc","C:\Windows\system32\svchost.exe -k LocalService","492","0","Share Process","True","Auto","NT AUTHORITY\LocalService","Running","OK","Win32_ComputerSystem","ILCSDC0","0","0"
"ILCSDC0","1f2702d2-4538-45f6-a75d-53e5572e907c","True","2","Win32_Service","Win32_BaseService","CIM_ManagedSystemElement","Win32_Service.Name=""CoreMessagingRegistrar""","26","Win32_BaseService CIM_Service CIM_LogicalElement CIM_ManagedSystemElement","ILCSDC0","root\cimv2","\\ILCSDC0\root\cimv2:Win32_Service.Name=""CoreMessagingRegistrar""","False","False","CoreMessaging","0","Win32_Service","False","Manages communication between system components.","False","CoreMessaging","Normal","0",,"CoreMessagingRegistrar","C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork","1272","0","Share Process","True","Auto","NT AUTHORITY\LocalService","Running","OK","Win32_ComputerSystem","ILCSDC0","0","0"
"ILCSDC0","1f2702d2-4538-45f6-a75d-53e5572e907c","True","2","Win32_Service","Win32_BaseService","CIM_ManagedSystemElement","Win32_Service.Name=""CryptSvc""","26","Win32_BaseService CIM_Service CIM_LogicalElement CIM_ManagedSystemElement","ILCSDC0","root\cimv2","\\ILCSDC0\root\cimv2:Win32_Service.Name=""CryptSvc""","False","True","Cryptographic Services","0","Win32_Service","False","Provides three management services: Catalog Database Service, which confirms the signatures of Windows files and allows new programs to be installed; Protected Root Service, which adds and removes Trusted Root Certification Authority certificates from this computer; and Automatic Root Certificate Update Service, which retrieves root certificates from Windows Update and enable scenarios such as SSL. If this service is stopped, these management services will not function properly. If this service is disabled, any services that explicitly depend on it will fail to start.","False","Cryptographic Services","Normal","0",,"CryptSvc","C:\Windows\system32\svchost.exe -k NetworkService","1084","0","Share Process","True","Auto","NT Authority\NetworkService","Running","OK","Win32_ComputerSystem","ILCSDC0","0","0"
"ILCSDC0","1f2702d2-4538-45f6-a75d-53e5572e907c","True","2","Win32_Service","Win32_BaseService","CIM_ManagedSystemElement","Win32_Service.Name=""DcomLaunch""","26","Win32_BaseService CIM_Service CIM_LogicalElement CIM_ManagedSystemElement","ILCSDC0","root\cimv2","\\ILCSDC0\root\cimv2:Win32_Service.Name=""DcomLaunch""","False","False","DCOM Server Process Launcher","0","Win32_Service","False","The DCOMLAUNCH service launches COM and DCOM servers in response to object activation requests. If this service is stopped or disabled, programs using COM or DCOM will not function properly. It is strongly recommended that you have the DCOMLAUNCH service running.","False","DCOM Server Process Launcher","Normal","0",,"DcomLaunch","C:\Windows\system32\svchost.exe -k DcomLaunch","836","0","Share Process","True","Auto","LocalSystem","Running","OK","Win32_ComputerSystem","ILCSDC0","0","0"
"ILCSDC0","1f2702d2-4538-45f6-a75d-53e5572e907c","True","2","Win32_Service","Win32_BaseService","CIM_ManagedSystemElement","Win32_Service.Name=""Dfs""","26","Win32_BaseService CIM_Service CIM_LogicalElement CIM_ManagedSystemElement","ILCSDC0","root\cimv2","\\ILCSDC0\root\cimv2:Win32_Service.Name=""Dfs""","False","True","DFS Namespace","0","Win32_Service","False","Enables you to group shared folders located on different servers into one or more logically structured namespaces. Each namespace appears to users as a single shared folder with a series of subfolders.","False","DFS Namespace","Normal","0",,"Dfs","C:\Windows\system32\dfssvc.exe","2760","0","Own Process","True","Auto","LocalSystem","Running","OK","Win32_ComputerSystem","ILCSDC0","0","0"
"ILCSDC0","1f2702d2-4538-45f6-a75d-53e5572e907c","True","2","Win32_Service","Win32_BaseService","CIM_ManagedSystemElement","Win32_Service.Name=""DFSR""","26","Win32_BaseService CIM_Service CIM_LogicalElement CIM_ManagedSystemElement","ILCSDC0","root\cimv2","\\ILCSDC0\root\cimv2:Win32_Service.Name=""DFSR""","False","True","DFS Replication","0","Win32_Service","False","Enables you to synchronize folders on multiple servers across local or wide area network (WAN) network connections. This service uses the Remote Differential Compression (RDC) protocol to update only the portions of files that have changed since the last replication.","False","DFS Replication","Normal","0",,"DFSR","C:\Windows\system32\DFSRs.exe","2732","0","Own Process","True","Auto","LocalSystem","Running","OK","Win32_ComputerSystem","ILCSDC0","0","0"
"ILCSDC0","1f2702d2-4538-45f6-a75d-53e5572e907c","True","2","Win32_Service","Win32_BaseService","CIM_ManagedSystemElement","Win32_Service.Name=""Dhcp""","26","Win32_BaseService CIM_Service CIM_LogicalElement CIM_ManagedSystemElement","ILCSDC0","root\cimv2","\\ILCSDC0\root\cimv2:Win32_Service.Name=""Dhcp""","False","True","DHCP Client","0","Win32_Service","False","Registers and updates IP addresses and DNS records for this computer. If this service is stopped, this computer will not receive dynamic IP addresses and DNS updates. If this service is disabled, any services that explicitly depend on it will fail to start.","False","DHCP Client","Normal","0",,"Dhcp","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted","412","0","Share Process","True","Auto","NT Authority\LocalService","Running","OK","Win32_ComputerSystem","ILCSDC0","0","0"
